county,land_area_m2,land_area_mi2,pop_2020,pop_dens_2020,county_type,median_hh_income,p_foreign_born,p_child_poverty,p_single_parent_hh,p_broadband,p_home_ownership,p_family_sustaining_wage,p_edu_lths,p_edu_hsged,p_edu_scnd,p_edu_ndc,p_edu_assoc,p_edu_ba,p_edu_mapl,p_edu_hs_grad_rate,p_edu_chronic_absent_rate
Davie,682977540,263.69910246421944,42712,161.97248910164745,Rural - Metro,76153,0.05054450035095215,0.1526483148336411,0.144431933760643,0.7851004600524902,0.8338766098022461,0.5404790043830872,0.07813505083322525,0.2930332124233246,0.1459807008504868,0.07502679526805878,0.1186495199799538,0.2052518725395203,0.08392283320426941,0.8866799473762512,0.1959654241800308
Duplin,2110115795,814.7202633297031,48715,59.79352937768517,Rural - Non-Metro,52947,0.1178725063800812,0.296402245759964,0.1693869382143021,0.5743431448936462,0.7003881335258484,0.355512261390686,0.1840029656887054,0.2505335509777069,0.1755590587854385,0.07497448474168777,0.1237821280956268,0.1534749865531921,0.03767282143235207,0.858793318271637,0.2196773588657379
Durham,742095312,286.52460184460074,324833,1133.7002055278178,Urban,81413,0.1520256251096725,0.1678839921951294,0.1695643365383148,0.8190784454345703,0.5502158999443054,0.5993466377258301,0.08377022296190262,0.1372043341398239,0.04404995962977409,0.07499787956476212,0.05400826409459114,0.3270615339279175,0.2789077758789063,0.83292555809021,0.3716352581977844
Edgecombe,1309074148,505.4363543004837,48900,96.74808625049708,Rural - Metro,49972,0.03138774260878563,0.3787878751754761,0.2882813811302185,0.6151641011238098,0.593866765499115,0.3600990474224091,0.1332924365997314,0.3419507443904877,0.1989308595657349,0.07501533627510071,0.08079922944307327,0.131890282034874,0.03812111169099808,0.7878788113594055,0.3554128408432007
Forsyth,1056328480,407.85070631077144,382590,938.0638407144907,Urban,65556,0.09152660518884659,0.2246065586805344,0.1853502243757248,0.7556872367858887,0.6268596053123474,0.50525665283203125,0.09489335119724274,0.2163900136947632,0.1209027543663979,0.0749971866607666,0.09021370857954025,0.247672975063324,0.1549300104379654,0.8540664315223694,0.321405291557312
Franklin,1273761673,491.8021314777387,68573,139.43209191459948,Rural - Metro,70898,0.05355604365468025,0.1289724409580231,0.1732016652822495,0.6779024600982666,0.781211256980896,0.5079682469367981,0.1172471940517426,0.2587078511714935,0.1697190999984741,0.07500000298023224,0.1126404479146004,0.1939325779676437,0.07275281101465225,0.8510344624519348,0.2712545692920685
Gaston,921392674,355.75170034274794,227943,640.7362207415705,Suburban,67076,0.05710521340370178,0.1625547111034393,0.2027804553508759,0.7336569428443909,0.6582183837890625,0.5312411785125732,0.08139093220233917,0.2653010785579681,0.1562897562980652,0.0749979317188263,0.1135871782898903,0.2191789895296097,0.08925414830446243,0.8669579029083252,0.236237958073616
Gates,882181709,340.6122621157516,10478,30.762251290997916,Rural - Metro,64047,0.01283893827348948,0.1119285374879837,0.1087935566902161,0.5970609188079834,0.8229438066482544,0.343719094991684,0.07418397814035416,0.3610286712646484,0.2705242335796356,0.07517309486865997,0.0895153284072876,0.06330365687608719,0.06627102196216583,0.8914728760719299,0.3070652186870575
Graham,756189029,291.9662164008931,8030,27.50318204272704,Rural - Non-Metro,51841,0.0243750773370266,0.04078857973217964,0.102355070412159,0.5413647294044495,0.8082729578018188,0.4916666746139526,0.1296728998422623,0.3609813153743744,0.1115654185414314,0.07476635277271271,0.1191588789224625,0.1179906576871872,0.08586448431015015,0.9350649118423462,0.2810516655445099
Granville,1377850210,531.9909402981776,60992,114.6485689508441,Rural - Metro,72896,0.05826917663216591,0.1737432926893234,0.1994047611951828,0.7086489796638489,0.7660533785820007,0.541414737701416,0.148099347949028,0.2390803098678589,0.1485605090856552,0.074972003698349,0.09098096191883087,0.2159562557935715,0.08235061913728714,0.801996648311615,0.3420822322368622
Greene,690838977,266.73442025955865,20451,76.67176954552464,Rural - Non-Metro,52145,0.06459037214517593,0.4002621173858643,0.2283706665039063,0.4551310241222382,0.6531986594200134,0.319257527589798,0.2013816982507706,0.3507772088050842,0.1583765149116516,0.07495681941509247,0.09689119458198547,0.07927460968494415,0.03834196925163269,0.8653061389923096,0.2414275705814362
Guilford,1672930669,645.9221424765537,541299,838.025149477901,Urban,65890,0.1142255738377571,0.2121850699186325,0.2013095021247864,0.77415931224823,0.5995959639549255,0.4914591610431671,0.09171950072050095,0.1897071003913879,0.1420006304979324,0.07500214874744415,0.09648871421813965,0.2617186307907104,0.1433632671833038,0.922024130821228,0.3089125156402588
Halifax,1874472930,723.7380444962738,48622,67.18176606819283,Rural - Non-Metro,48520,0.02472054585814476,0.3887574076652527,0.2425378710031509,0.5757067203521729,0.6347624659538269,0.2825237214565277,0.1475952118635178,0.3282674849033356,0.1808510571718216,0.075004473328590393,0.07947434484958649,0.1433041244745255,0.04550330713391304,0.8201581239700317,0.3768905997276306
