country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Finland,2.1906536302,1.0885583583,0.7912362134,0.6291981301,1.1925564567,1.3994713069,1.1622369801,3.0420964604,2.57844077,1.5712208261,0.8774385555,0.1871233764,0.6238711839,1.5666666747,2.5106662277,4.0659516595,0,1.1841349548,3.4168090342,2.8083323212,1.4782881312,1.041200009,-0.20793204,0.3566845042,0.7540150404,1.0838209907,1.0240939231,0.2905545557,2.1945743235,7.1235077395,6.2506432184,1.5656890595,0.3378746649
France,2.1044627759,1.65551532,1.7964814301,1.9828836508,1.2039429315,0.6511268764,0.5371416391,1.6759598871,1.6347807871,1.9234122873,2.0984721916,2.1420896544,1.7458693637,1.6751244884,1.4879980633,2.8128619491,0.0876204817,1.5311227006,2.1115979517,1.9541953161,0.8637155012,0.5077588229,0.0375143805,0.1833348578,1.032282754,1.8508150798,1.1082549229,0.4764988559,1.6423314103,5.2223674773,4.8783572682,1.9990494201,0.9437702181
Germany,4.4745762619,2.6930564557,1.7061611497,1.4497255734,1.9393692065,0.911184533,0.5854336187,1.4402683258,1.9838568491,1.4208067158,1.0342233958,1.6657360868,1.546910747,1.5774292471,2.2983405862,2.6283830577,0.3127377254,1.1038085697,2.0751729187,2.0084911806,1.5047222791,0.9067970358,0.514421006,0.4917486205,1.5094965626,1.7321676648,1.4456670123,0.1448705311,3.06666667,6.8725743821,5.9464366773,2.2564981405,2.1717877124
Greece,14.4112677285,10.8740794321,8.9345139831,8.1945485957,5.5360031207,4.7662255856,2.6366384321,3.1511775289,3.3739664084,3.6293629354,3.5306507847,2.8988479789,3.5450730463,3.1959459622,2.89500102,4.1527963671,1.2100739444,4.7129815915,3.3298701696,1.5015197795,-0.9212718974,-1.3122424119,-1.7359023721,-0.8256575882,1.1212590333,0.6256204989,0.2529927585,-1.2479717067,1.22382564,9.6452611214,3.4648014697,2.7414964065,2.4816205451
Hungary,22.4642409089,18.8680791783,28.3054645669,23.4690312905,18.3050773803,14.1537895529,9.9977438981,9.8036078447,9.1168091168,5.2654482115,4.6610169576,6.7443467875,3.5615171213,3.9303260311,7.9587451692,6.0425125388,4.2117117117,4.8555579598,3.9299209837,5.652145171,1.7331998549,-0.2275662759,-0.0616446776,0.3947693042,2.3482428116,2.8502479284,3.3385863562,3.3267438553,5.110965346,14.6081439469,17.1249659679,3.7037037053,4.411984456
Iceland,4.0428501701,1.5526572643,1.6512318526,2.2604211601,1.8154311602,1.6592372361,3.2318311039,5.136474479,6.4050855597,5.1970231206,2.0556617521,3.1581953617,3.9870484497,6.6870736998,5.0515638417,12.6944019319,12.0031170501,5.3967316335,4.0010261725,5.1859003784,3.8722751233,2.0446189543,1.6330584821,1.6969302393,1.760412793,2.6829150814,3.0139767938,2.8479186969,4.4442433995,8.3087540981,8.7363059452,5.8568378756,4.0909147492
Ireland,1.4694201799,2.3091976554,2.524866102,1.755747815,1.5417995857,2.4076809393,1.629886058,5.5776326991,4.8528027904,4.6282051231,3.492219091,2.1785460669,2.4565469199,3.9357611402,4.88574538,4.0356883536,-4.4475468726,-0.9183886412,2.5489782936,1.6947411669,0.5150994849,0.1909164068,-0.3309597834,0.0201247655,0.3621730382,0.4711307177,0.9378429572,-0.3261836513,2.3403411385,7.8294573605,6.299424878,2.1134499924,2.2104478848
Israel,10.8838739915,12.2535509953,9.933899898,11.4585122976,8.9549938219,5.488753725,5.1897545927,1.0326364099,1.123028381,5.802345895,0.7076306169,-0.4215950346,1.3407032813,2.054079146,0.4662269775,4.5274476469,3.3676231772,2.7027027027,3.488372093,1.6755371614,1.5897634664,0.4675572596,-0.6173425814,-0.5351681995,0.249807844,0.8050603795,0.8176459441,-0.5752546284,1.4796547473,4.4116272625,4.225226028,3.0748088946,3.041413219
Italy,4.6267322288,4.051840774,5.2354229386,4.0069805565,2.0431055177,1.9550879446,1.6634578329,2.5376865347,2.7851654842,2.465320204,2.6725589303,2.2067363501,1.9852941186,2.0908435486,1.8297380602,3.347834302,0.7747681818,1.5255160788,2.7805732078,3.0413625356,1.2199921206,0.2410575411,0.0387867521,-0.094068854,1.2265331665,1.137487636,0.6112469438,-0.1377075772,1.8737832577,8.2012899182,5.6221944159,0.9823730231,1.5316682766
Japan,1.3,0.7,-0.1,0.1,1.8,0.6,-0.3,-0.7,-0.7,-0.9,-0.3,0,-0.3,0.3,0,1.4,-1.4,-0.7,-0.3,0,0.4,2.7,0.8,-0.1,0.4841997961,0.989094598,0.4687761627,-0.024995834,NA,NA,NA,NA,NA
