year,marital_status,age,education_years,children,happiness,health,employment_status,party_id
2024,Married,72,14,3,Very happy,Good,Retired,Strong democrat
2024,Never married,34,14,1,Pretty happy,Excellent,Working full time,Not very strong democrat
2024,Married,35,16,0,Very happy,Good,Working full time,Not very strong republican
2024,Married,46,14,2,Very happy,Fair,Working full time,Strong democrat
2024,Never married,80,18,0,Very happy,Good,Retired,Not very strong republican
2024,Divorced,34,17,1,Not too happy,Fair,Working full time,Not very strong democrat
2024,Never married,35,12,3,Very happy,Good,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Divorced,54,12,2,Very happy,Good,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Married,73,17,4,Very happy,Good,Retired,"Independent, close to democrat"
2024,Married,49,12,2,Pretty happy,Fair,Working full time,Strong democrat
2024,Never married,55,12,2,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,37,12,3,Pretty happy,Good,Working part time,"Independent (neither, no response)"
2024,Married,47,11,6,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,37,13,3,Pretty happy,Fair,Working full time,"Independent (neither, no response)"
2024,Never married,NA,17,0,Not too happy,Fair,"With a job, but not at work because of temporary illness, vacation, strike",Strong democrat
2024,Married,48,10,2,Not too happy,Good,Working part time,"Independent (neither, no response)"
2024,Married,54,13,1,Not too happy,Good,Keeping house,"Independent (neither, no response)"
2024,Never married,28,14,0,Pretty happy,Fair,Working part time,"Independent, close to democrat"
2024,Never married,42,13,3,Not too happy,Poor,Working full time,"Independent (neither, no response)"
2024,Separated,64,16,2,Pretty happy,Good,Retired,Strong democrat
2024,Never married,89,0,8,Not too happy,Poor,Retired,"Independent (neither, no response)"
2024,Never married,82,6,2,Very happy,Fair,Other,Strong republican
2024,Married,37,16,0,Very happy,Excellent,Working full time,Not very strong democrat
2024,Never married,80,6,0,Very happy,Fair,Retired,Not very strong democrat
2024,Never married,19,13,0,Pretty happy,Excellent,In school,"Independent (neither, no response)"
2024,Married,69,14,2,Pretty happy,Fair,Working full time,Not very strong democrat
2024,Never married,51,12,4,Not too happy,Poor,Working part time,"Independent (neither, no response)"
2024,Widowed,68,12,4,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,58,14,0,Not too happy,Good,Working full time,"Independent, close to democrat"
2024,Widowed,59,16,4,Pretty happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Divorced,66,16,1,Pretty happy,Excellent,Retired,Strong republican
2024,Never married,22,10,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,34,16,0,Not too happy,Good,Working part time,"Independent (neither, no response)"
2024,Married,82,16,3,Very happy,Fair,Retired,"Independent (neither, no response)"
2024,Divorced,74,16,4,Pretty happy,Good,Retired,Strong democrat
2024,Divorced,61,14,1,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,64,17,1,Pretty happy,Fair,Working part time,"Independent (neither, no response)"
2024,Never married,42,14,0,Pretty happy,Good,Other,"Independent (neither, no response)"
2024,Never married,37,NA,0,Not too happy,Good,"Unemployed, laid off, looking for work","Independent, close to republican"
2024,Never married,19,10,0,Not too happy,Fair,Working part time,"Independent, close to democrat"
2024,Never married,37,17,0,Pretty happy,Fair,Working full time,Not very strong democrat
2024,Divorced,70,18,1,Pretty happy,Good,Working full time,Strong democrat
2024,Married,50,12,3,Pretty happy,Fair,Keeping house,Strong democrat
2024,Married,39,10,3,Very happy,Fair,Other,"Independent (neither, no response)"
2024,Married,66,2,2,Very happy,Fair,Working full time,Not very strong democrat
2024,Never married,46,10,4,Pretty happy,Fair,Keeping house,"Independent (neither, no response)"
2024,Never married,41,6,3,Pretty happy,Fair,Working full time,"Independent (neither, no response)"
2024,Married,48,18,7,Pretty happy,Good,Working full time,"Independent, close to democrat"
2024,Widowed,82,15,2,Not too happy,Good,Retired,"Independent, close to democrat"
2024,Married,68,14,2,Pretty happy,Good,Keeping house,"Independent, close to democrat"
2024,Divorced,69,18,0,Not too happy,Excellent,Retired,"Independent, close to democrat"
2024,Divorced,89,16,2,Very happy,Good,Working part time,Strong democrat
2024,Married,62,16,2,Pretty happy,Good,Working full time,Other party
2024,Divorced,82,18,2,Not too happy,Poor,Retired,"Independent (neither, no response)"
2024,Married,60,16,1,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Never married,18,13,0,Very happy,Excellent,"Unemployed, laid off, looking for work",Strong democrat
2024,Married,64,18,0,NA,Good,Retired,Strong republican
2024,Widowed,79,20,6,Pretty happy,Good,Retired,Strong republican
2024,Never married,60,18,0,Pretty happy,Excellent,Working full time,"Independent (neither, no response)"
2024,Never married,38,18,0,Pretty happy,Good,Working full time,Other party
2024,Married,39,16,1,Pretty happy,Good,Working full time,Strong democrat
2024,Never married,NA,14,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,35,15,0,Pretty happy,Good,In school,"Independent, close to democrat"
2024,Divorced,61,16,3,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,36,16,0,Not too happy,Good,Working full time,"Independent, close to democrat"
2024,Never married,22,16,0,Pretty happy,Good,In school,"Independent (neither, no response)"
2024,Married,33,12,2,Pretty happy,Good,Working part time,Strong republican
2024,Never married,47,17,0,Pretty happy,Good,Working full time,Strong democrat
2024,Divorced,60,15,3,Very happy,Excellent,Working full time,"Independent (neither, no response)"
2024,Never married,54,16,0,Not too happy,Excellent,Working full time,Strong democrat
2024,Divorced,63,17,0,Pretty happy,Good,Working part time,Not very strong democrat
2024,Married,54,16,2,Pretty happy,Fair,Working full time,Strong democrat
2024,Married,65,16,1,Pretty happy,Good,Working full time,Not very strong republican
2024,Never married,51,14,0,Pretty happy,Excellent,Working full time,"Independent, close to democrat"
2024,Married,69,4,NA,Not too happy,Poor,Other,"Independent (neither, no response)"
2024,Divorced,36,15,0,Not too happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
