rank,previous_rank_change,artist,song,weeks_on_chart,peak_rank,streams,genre
174,+17,Eminem,Without Me,255,31,8359606,Hip-hop
175,-44,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole),32,36,8315497,Dancehall
176,+6,The Neighbourhood,Reflections,3,157,8291774,Alternative
177,-2,Anuel AA,Las mas bonitas son p#tas,2,175,8255474,Latin
178,+22,Creedence Clearwater Revival,Have You Ever Seen The Rain,86,75,8252315,Rock
179,+15,CORTIS,REDRED,18,61,8233985,K-pop
180,NEW,Dolly Parton,Islands in the Stream (w/ Kenny Rogers),1,180,8213486,Country
181,+4,The Weeknd,Timeless (w/ Playboi Carti),100,3,8196525,R&B
182,-23,David Guetta,Titanium (w/ Sia),25,159,8194884,Electronic
183,-6,Ella Langley,Be Her,17,105,8167503,Country
184,RE,Rihanna,Kiss It Better,31,100,8163109,Pop
185,RE,Omar Courtz,KOKO,23,66,8158585,Latin
186,-3,Noah Kahan,Orbiter,4,159,8142365,Indie
187,RE,The Chainsmokers,Something Just Like This (w/ Coldplay),305,2,8140668,Electronic
188,-42,Oldilla,"Cuida do Pet (w/ Mc Iguinho Ct, MC Willian, Aaron Modesto, Mc Negão Original, DU'L, Dj Aladin GDB)",5,146,8083880,Indie
189,-26,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version,18,8,8074991,Pop
190,-19,Ariana Grande,Into You,64,14,8073114,Pop
191,RE,Prince,Purple Rain,8,36,8072439,Pop
192,-3,Quevedo,LA GRACIOSA (w/ Elvis Crespo),7,129,8049179,Latin
193,+4,Nelly Furtado,Promiscuous (w/ Timbaland),31,140,8040617,Pop
194,+1,Kings of Leon,Sex on Fire,18,173,8029380,Rock
195,+1,French Montana,Unforgettable (w/ Swae Lee),157,3,8021293,Hip-hop
196,-29,JAŸ-Z,Empire State Of Mind (w/ Alicia Keys),10,122,7998399,Hip-hop
197,-19,Taylor Swift,"I Knew It, I Knew You",12,5,7968726,Pop
198,RE,Tove Lo,Talking Body,39,27,7965291,Pop
199,RE,One Direction,Night Changes,190,8,7956993,Pop
200,-26,The Outfield,Your Love,33,116,7925494,Rock
