district,state_abb,state,house_rep_20,house_party_20,house_rep_22,house_party_22,house_rep_24,house_party_24,harris_24,trump_24,gerry_22,gerry_24,gerry_26
MI-06,MI,Michigan,Fred Upton,Republican,Debbie Dingell,Democrat,Debbie Dingell,Democrat,60.12,36.93,A,A,A
MI-07,MI,Michigan,Tim Walberg,Republican,Elissa Slotkin,Democrat,Tom Barrett,Republican,48.53,49.82,A,A,A
MI-08,MI,Michigan,Elissa Slotkin,Democrat,Daniel T Kildee,Democrat,Kristen Mcdonald Rivet,Democrat,48.21,50.2,A,A,A
MI-09,MI,Michigan,Andy Levin,Democrat,Lisa Mcclain,Republican,Lisa C. Mcclain,Republican,33.17,65.5,A,A,A
MI-10,MI,Michigan,Lisa Mcclain,Republican,John James,Republican,John James,Republican,45.69,52.24,A,A,A
MI-11,MI,Michigan,Haley M Stevens,Democrat,Haley M Stevens,Democrat,Haley M. Stevens,Democrat,57.06,40.96,A,A,A
MI-12,MI,Michigan,Debbie Dingell,Democrat,Rashida Tlaib,Democrat,Rashida Tlaib,Democrat,66.57,28.88,A,A,A
MI-13,MI,Michigan,Rashida Tlaib,Democrat,Shri Thanedar,Democrat,Shri Thanedar,Democrat,69.42,28.04,A,A,A
MI-14,MI,Michigan,Brenda L Lawrence,Democrat,NA,NA,NA,NA,NA,NA,A,A,A
MN-01,MN,Minnesota,Jim Hagedorn,Republican,Brad Finstad,Republican,Brad Finstad,Republican,43.06,55.06,A,A,A
MN-02,MN,Minnesota,Angie Craig,Democrat,Angie Craig,Democrat,Angie Craig,Democrat,51.92,46.09,A,A,A
MN-03,MN,Minnesota,Dean Phillips,Democrat,Dean Phillips,Democrat,Kelly Morrison,Democrat,59.57,38.31,A,A,A
MN-04,MN,Minnesota,Betty Mccollum,Democrat,Betty Mccollum,Democrat,Betty Mccollum,Democrat,66.75,31.07,A,A,A
MN-05,MN,Minnesota,Ilhan Omar,Democrat,Ilhan Omar,Democrat,Ilhan Omar,Democrat,79.61,17.75,A,A,A
MN-06,MN,Minnesota,Tom Emmer,Republican,Tom Emmer,Republican,Tom Emmer,Republican,39.18,58.85,A,A,A
MN-07,MN,Minnesota,Michelle Fischbach,Republican,Michelle Fischbach,Republican,Michelle Fischbach,Republican,30.93,67.41,A,A,A
MN-08,MN,Minnesota,Pete Stauber,Republican,Pete Stauber,Republican,Pete Stauber,Republican,42.03,56.32,A,A,A
MO-01,MO,Missouri,Cori Bush,Democrat,Cori Bush,Democrat,Wesley Bell,Democrat,77.65,20.53,A,A,F
MO-02,MO,Missouri,Ann Wagner,Republican,Ann Wagner,Republican,Ann Wagner,Republican,45.19,53.1,A,A,F
MO-03,MO,Missouri,Blaine Luetkemeyer,Republican,Blaine Luetkemeyer,Republican,Bob Onder,Republican,35.88,62.66,A,A,F
MO-04,MO,Missouri,Vicky Hartzler,Republican,Mark Alford,Republican,Mark Alford,Republican,28.21,70.51,A,A,F
MO-05,MO,Missouri,Emanuel Cleaver,Democrat,Emanuel Cleaver,Democrat,Emanuel Cleaver,Democrat,60.69,37.53,A,A,F
MO-06,MO,Missouri,Sam Graves,Republican,Sam Graves,Republican,Sam Graves,Republican,29.97,68.83,A,A,F
MO-07,MO,Missouri,Billy Long,Republican,Eric Burlison,Republican,Eric Burlison,Republican,28.09,70.68,A,A,F
MO-08,MO,Missouri,Jason Smith,Republican,Jason Smith,Republican,Jason Smith,Republican,22.52,76.5,A,A,F
MS-01,MS,Mississippi,Trent Kelly,Republican,Trent Kelly,Republican,Trent Kelly,Republican,30.82,67.85,C,C,C
MS-02,MS,Mississippi,Bennie G Thompson,Democrat,Bennie G Thompson,Democrat,Bennie G. Thompson,Democrat,59.68,39.29,C,C,C
MS-03,MS,Mississippi,Michael Guest,Republican,Michael Guest,Republican,Michael Guest,Republican,34.49,63.68,C,C,C
MS-04,MS,Mississippi,Steven M Palazzo,Republican,Mike Ezell,Republican,Mike Ezell,Republican,28.19,70.72,C,C,C
MT-00,MT,Montana,Matt Rosendale,Republican,NA,NA,NA,NA,NA,NA,A,A,A
MT-01,MT,Montana,NA,NA,Ryan K Zinke,Republican,Ryan K. Zinke,Republican,42.67,54.21,A,A,A
MT-02,MT,Montana,NA,NA,"Matthew M Rosendale, Sr",Republican,Troy Downing,Republican,33.64,63.18,A,A,A
NC-01,NC,North Carolina,G K Butterfield,Democrat,Don Davis,Democrat,Donald G. Davis,Democrat,47.97,51.06,B,F,F
NC-02,NC,North Carolina,Deborah K Ross,Democrat,Deborah K Ross,Democrat,Deborah K. Ross,Democrat,66.21,31.92,B,F,F
NC-03,NC,North Carolina,Gregory F Murphy,Republican,Gregory F Murphy,Republican,Gregory F. Murphy,Republican,38.52,60.33,B,F,F
NC-04,NC,North Carolina,David E Price,Democrat,Valerie P Foushee,Democrat,Valerie P. Foushee,Democrat,71.81,26.53,B,F,F
NC-05,NC,North Carolina,Virginia Foxx,Republican,Virginia Foxx,Republican,Virginia Foxx,Republican,40.4,58.22,B,F,F
NC-06,NC,North Carolina,Kathy Manning,Democrat,Kathy E Manning,Democrat,Addison Mcdowell,Republican,41.1,58.11,B,F,F
NC-07,NC,North Carolina,David Rouzer,Republican,David Rouzer,Republican,David Rouzer,Republican,42.52,56.31,B,F,F
NC-08,NC,North Carolina,Richard Hudson,Republican,Dan Bishop,Republican,Mark Harris,Republican,39.58,59.14,B,F,F
NC-09,NC,North Carolina,Dan Bishop,Republican,Richard Hudson,Republican,Richard Hudson,Republican,41.71,57.5,B,F,F
NC-10,NC,North Carolina,Patrick T Mchenry,Republican,Patrick T Mchenry,Republican,Pat Harrigan,Republican,40.51,58.18,B,F,F
NC-11,NC,North Carolina,Madison Cawthorn,Republican,Chuck Edwards,Republican,Chuck Edwards,Republican,44.5,53.96,B,F,F
NC-12,NC,North Carolina,Alma S Adams,Democrat,Alma S Adams,Democrat,Alma S. Adams,Democrat,72.22,25.99,B,F,F
NC-13,NC,North Carolina,Ted Budd,Republican,Wiley Nickel,Democrat,Brad Knott,Republican,41.11,57.97,B,F,F
NC-14,NC,North Carolina,NA,NA,Jeff Jackson,Democrat,Tim Moore,Republican,41.94,57.06,B,F,F
ND-00,ND,North Dakota,Kelly Armstrong,Republican,Kelly Armstrong,Republican,Julie Fedorchak,Republican,30.77,67.52,NA,NA,NA
NE-01,NE,Nebraska,Jeff Fortenberry,Republican,Mike Flood,Republican,Mike Flood,Republican,42.77,55.82,A,A,A
NE-02,NE,Nebraska,Don Bacon,Republican,Don Bacon,Republican,Don Bacon,Republican,51.64,47.02,A,A,A
NE-03,NE,Nebraska,Adrian Smith,Republican,Adrian Smith,Republican,Adrian Smith,Republican,22.52,76.32,A,A,A
NH-01,NH,New Hampshire,Chris Pappas,Democrat,Chris Pappas,Democrat,Chris Pappas,Democrat,50.27,48.28,B,B,B
NH-02,NH,New Hampshire,Ann M Kuster,Democrat,Ann M Kuster,Democrat,Maggie Goodlander,Democrat,51.04,47.46,B,B,B
NJ-01,NJ,New Jersey,Donald Norcross,Democrat,Donald Norcross,Democrat,Donald Norcross,Democrat,58.61,39.88,A,A,A
NJ-02,NJ,New Jersey,Jefferson Van Drew,Republican,Jefferson Van Drew,Republican,Jefferson Van Drew,Republican,43,55.56,A,A,A
NJ-03,NJ,New Jersey,Andy Kim,Democrat,Andy Kim,Democrat,Herb Conaway,Democrat,53.36,45,A,A,A
NJ-04,NJ,New Jersey,Christopher H Smith,Republican,Christopher H Smith,Republican,Christopher H. Smith,Republican,34.26,64.37,A,A,A
NJ-05,NJ,New Jersey,Josh Gottheimer,Democrat,Josh Gottheimer,Democrat,Josh Gottheimer,Democrat,49.8,48.29,A,A,A
NJ-06,NJ,New Jersey,Frank Pallone Jr,Democrat,"Frank Pallone, Jr",Democrat,"Frank Pallone, Jr.",Democrat,51.95,45.53,A,A,A
NJ-07,NJ,New Jersey,Tom Malinowski,Democrat,"Thomas H Kean, Jr",Republican,"Thomas H. Kean, Jr.",Republican,48.45,49.63,A,A,A
NJ-08,NJ,New Jersey,Albio Sires,Democrat,Robert J Menendez,Democrat,Robert Menendez,Democrat,60.83,36.65,A,A,A
NJ-09,NJ,New Jersey,Bill Pascrell Jr,Democrat,"Bill Pascrell, Jr",Democrat,Nellie Pou,Democrat,48.02,49.16,A,A,A
NJ-10,NJ,New Jersey,Donald M Payne Jr,Democrat,"Donald M Payne, Jr",Democrat,Lamonica Mciver,Democrat,74.52,23.75,A,A,A
NJ-11,NJ,New Jersey,Mikie Sherrill,Democrat,Mikie Sherrill,Democrat,Mikie Sherrill,Democrat,53.34,44.62,A,A,A
NJ-12,NJ,New Jersey,Bonnie Watson Coleman,Democrat,Bonnie Watson Coleman,Democrat,Bonnie Watson Coleman,Democrat,60.57,36.7,A,A,A
NM-01,NM,New Mexico,Debra A Haaland,Democrat,Melanie A Stansbury,Democrat,Melanie A. Stansbury,Democrat,56.1,43.16,D,D,D
NM-02,NM,New Mexico,Yvette Herrell,Republican,Gabriel Vasquez,Democrat,Gabe Vasquez,Democrat,48.33,50.25,D,D,D
NM-03,NM,New Mexico,Teresa Leger Fernandez,Democrat,Teresa Leger Fernandez,Democrat,Teresa Leger Fernandez,Democrat,51.67,46.83,D,D,D
NV-01,NV,Nevada,Dina Titus,Democrat,Dina Titus,Democrat,Dina Titus,Democrat,50.24,47.98,F,F,F
NV-02,NV,Nevada,Mark E Amodei,Republican,Mark E Amodei,Republican,Mark E. Amodei,Republican,41.84,55.82,F,F,F
NV-03,NV,Nevada,Susie Lee,Democrat,Susie Lee,Democrat,Susie Lee,Democrat,48.8,49.54,F,F,F
NV-04,NV,Nevada,Steven Horsford,Democrat,Steven Horsford,Democrat,Steven Horsford,Democrat,50.47,47.65,F,F,F
NY-01,NY,New York,Lee M Zeldin,Republican,Nicholas J Lalota,Republican,Nick Lalota,Republican,44.26,54.3,A,A,A
NY-02,NY,New York,Andrew R Garbarino,Republican,Andrew R Garbarino,Republican,Andrew R. Garbarino,Republican,42.77,56.79,A,A,A
NY-03,NY,New York,Thomas R Suozzi,Democrat,George A D Santos,Republican,Thomas R. Suozzi,Democrat,46.66,51.92,A,A,A
NY-04,NY,New York,Kathleen M Rice,Democrat,Laura A Gillen,Democrat,Laura A. Gillen,Democrat,49.79,49.03,A,A,A
NY-05,NY,New York,Gregory W Meeks,Democrat,Gregory W Meeks,Democrat,Gregory W. Meeks,Democrat,70.13,28.36,A,A,A
NY-06,NY,New York,Grace Meng,Democrat,Grace Meng,Democrat,Grace Meng,Democrat,52.3,45.89,A,A,A
NY-07,NY,New York,Nydia M Velazquez,Democrat,Nydia M VelãZquez,Democrat,Nydia M. Velázquez,Democrat,71.55,25.69,A,A,A
NY-08,NY,New York,Hakeem S Jeffries,Democrat,Hakeem S Jeffries,Democrat,Hakeem S. Jeffries,Democrat,71.28,27.1,A,A,A
NY-09,NY,New York,Yvette D Clarke,Democrat,Yvette D Clarke,Democrat,Yvette D. Clarke,Democrat,69.17,28.75,A,A,A
NY-10,NY,New York,Jerrold L Nadler,Democrat,Daniel Goldman,Democrat,Daniel S. Goldman,Democrat,79.13,18.52,A,A,A
NY-11,NY,New York,Nicole Malliotakis,Republican,Nicole Malliotakis,Republican,Nicole Malliotakis,Republican,36.9,61.27,A,A,A
NY-12,NY,New York,Carolyn B Maloney,Democrat,Jerrold Nadler,Democrat,Jerrold Nadler,Democrat,80.8,17.2,A,A,A
NY-13,NY,New York,Adriano Espaillat,Democrat,Adriano Espaillat,Democrat,Adriano Espaillat,Democrat,78.74,19.61,A,A,A
NY-14,NY,New York,Alexandria Ocasio-Cortez,Democrat,Alexandria Ocasio-Cortez,Democrat,Alexandria Ocasio-Cortez,Democrat,64.89,33.21,A,A,A
NY-15,NY,New York,Ritchie Torres,Democrat,Ritchie Torres,Democrat,Ritchie Torres,Democrat,73.57,25.3,A,A,A
NY-16,NY,New York,Jamaal Bowman,Democrat,Jamaal Bowman,Democrat,George S. Latimer,Democrat,66.25,33.14,A,A,A
NY-17,NY,New York,Mondaire Jones,Democrat,Sean Patrick Maloney,Democrat,Michael Lawler,Republican,49.91,49.35,A,A,A
NY-18,NY,New York,Sean Patrick Maloney,Democrat,Patrick Ryan,Democrat,Patrick Ryan,Democrat,50.7,48.33,A,A,A
NY-19,NY,New York,Antonio Delgado,Democrat,Marcus Molinaro,Republican,Josh Riley,Democrat,49.78,49.05,A,A,A
NY-20,NY,New York,Paul D Tonko,Democrat,Paul Tonko,Democrat,Paul Tonko,Democrat,56.48,42.32,A,A,A
NY-21,NY,New York,Elise M Stefanik,Republican,Elise M Stefanik,Republican,Elise M. Stefanik,Republican,39.4,60.1,A,A,A
NY-22,NY,New York,Claudia Tenney,Republican,Francis Conole,Democrat,John W. Mannion,Democrat,53.54,45.89,A,A,A
NY-23,NY,New York,Tom Reed,Republican,Nick Langworthy,Republican,Nicholas A. Langworthy,Republican,39.08,60.1,A,A,A
NY-24,NY,New York,John M Katko,Republican,Claudia Tenney,Republican,Claudia Tenney,Republican,38.13,61.25,A,A,A
NY-25,NY,New York,Joseph D Morelle,Democrat,Joseph D Morelle,Democrat,Joseph D. Morelle,Democrat,59.33,40.67,A,A,A
NY-26,NY,New York,Brian Higgins,Democrat,Brian Higgins,Democrat,Timothy M. Kennedy,Democrat,58.79,39.72,A,A,A
NY-27,NY,New York,Chris Jacobs,Republican,NA,NA,NA,NA,NA,NA,A,A,A
OH-01,OH,Ohio,Steve Chabot,Republican,Greg Landsman,Democrat,Greg Landsman,Democrat,52.68,46.34,D,D,F
OH-02,OH,Ohio,Brad R Wenstrup,Republican,Brad R Wenstrup,Republican,David J. Taylor,Republican,25.83,73.41,D,D,F
OH-03,OH,Ohio,Joyce Beatty,Democrat,Joyce Beatty,Democrat,Joyce Beatty,Democrat,69.61,29.37,D,D,F
OH-04,OH,Ohio,Jim Jordan,Republican,Jim Jordan,Republican,Jim Jordan,Republican,31.18,67.94,D,D,F
OH-05,OH,Ohio,Robert E Latta,Republican,Robert E Latta,Republican,Robert E. Latta,Republican,34.91,64.17,D,D,F
OH-06,OH,Ohio,Bill Johnson,Republican,Bill Johnson,Republican,Michael A. Rulli,Republican,32.78,66.44,D,D,F
OH-07,OH,Ohio,Bob Gibbs,Republican,Max Miller,Republican,Max L. Miller,Republican,44.26,54.9,D,D,F
OH-08,OH,Ohio,Warren Davidson,Republican,Warren Davidson,Republican,Warren Davidson,Republican,37.71,61.4,D,D,F
OH-09,OH,Ohio,Marcy Kaptur,Democrat,Marcy Kaptur,Democrat,Marcy Kaptur,Democrat,46.18,52.89,D,D,F
OH-10,OH,Ohio,Michael R Turner,Republican,Michael R Turner,Republican,Michael R. Turner,Republican,46.64,52.37,D,D,F
OH-11,OH,Ohio,Marcia L Fudge,Democrat,Shontel M Brown,Democrat,Shontel M. Brown,Democrat,77.18,22.11,D,D,F
OH-12,OH,Ohio,Troy Balderson,Republican,Troy Balderson,Republican,Troy Balderson,Republican,33.21,65.94,D,D,F
OH-13,OH,Ohio,Tim Ryan,Democrat,Emilia Sykes,Democrat,Emilia Strong Sykes,Democrat,49.57,49.52,D,D,F
OH-14,OH,Ohio,David P Joyce,Republican,David P Joyce,Republican,David P. Joyce,Republican,40.61,58.54,D,D,F
OH-15,OH,Ohio,Steve Stivers,Republican,Mike Carey,Republican,Mike Carey,Republican,44.9,54.1,D,D,F
OH-16,OH,Ohio,Anthony Gonzalez,Republican,NA,NA,NA,NA,NA,NA,D,D,F
OK-01,OK,Oklahoma,Kevin Hern,Republican,Kevin Hern,Republican,Kevin Hern,Republican,38.18,59.71,C,C,C
OK-02,OK,Oklahoma,Markwayne Mullin,Republican,Josh Brecheen,Republican,Josh Brecheen,Republican,21.4,77.02,C,C,C
OK-03,OK,Oklahoma,Frank D Lucas,Republican,Frank D Lucas,Republican,Frank D. Lucas,Republican,26.66,71.51,C,C,C
OK-04,OK,Oklahoma,Tom Cole,Republican,Tom Cole,Republican,Tom Cole,Republican,32.58,65.51,C,C,C
OK-05,OK,Oklahoma,Stephanie Bice,Republican,Stephanie I Bice,Republican,Stephanie I. Bice,Republican,39.76,57.99,C,C,C
OR-01,OR,Oregon,Suzanne Bonamici,Democrat,Suzanne Bonamici,Democrat,Suzanne Bonamici,Democrat,66.76,29.16,D,D,D
OR-02,OR,Oregon,Cliff Bentz,Republican,Cliff Bentz,Republican,Cliff Bentz,Republican,34.9,61.96,D,D,D
OR-03,OR,Oregon,Earl Blumenauer,Democrat,Earl Blumenauer,Democrat,Maxine E. Dexter,Democrat,70.73,25.12,D,D,D
OR-04,OR,Oregon,Peter A Defazio,Democrat,Val Hoyle,Democrat,Val T. Hoyle,Democrat,54.14,42.16,D,D,D
OR-05,OR,Oregon,Kurt Schrader,Democrat,Lori Chavez-Deremer,Republican,Janelle S. Bynum,Democrat,52.46,43.83,D,D,D
OR-06,OR,Oregon,NA,NA,Andrea Salinas,Democrat,Andrea Salinas,Democrat,53.75,42.45,D,D,D
PA-01,PA,Pennsylvania,Brian K Fitzpatrick,Republican,Brian K Fitzpatrick,Republican,Brian K. Fitzpatrick,Republican,49.67,49.35,B,B,B
PA-02,PA,Pennsylvania,Brendan F Boyle,Democrat,Brendan F Boyle,Democrat,Brendan F. Boyle,Democrat,67.28,31.54,B,B,B
PA-03,PA,Pennsylvania,Dwight Evans,Democrat,Dwight Evans,Democrat,Dwight Evans,Democrat,88.06,10.74,B,B,B
PA-04,PA,Pennsylvania,Madeleine Dean Cunnane,Democrat,Madeleine Dean,Democrat,Madeleine Dean,Democrat,57.38,41.58,B,B,B
PA-05,PA,Pennsylvania,Mary Gay Scanlon,Democrat,Mary Gay Scanlon,Democrat,Mary Gay Scanlon,Democrat,63.79,35.15,B,B,B
PA-06,PA,Pennsylvania,Chrissy J Houlahan,Democrat,Chrissy Houlahan,Democrat,Chrissy Houlahan,Democrat,55.19,43.79,B,B,B
PA-07,PA,Pennsylvania,Susan Ellis Wild,Democrat,Susan Wild,Democrat,Ryan E. Mackenzie,Republican,47.86,51.07,B,B,B
PA-08,PA,Pennsylvania,Matthew Alton Cartwright,Democrat,Matt Cartwright,Democrat,"Rob Bresnahan, Jr.",Republican,45.35,53.85,B,B,B
PA-09,PA,Pennsylvania,Daniel Philip Meuser,Republican,Daniel Meuser,Republican,Daniel Meuser,Republican,30.59,68.51,B,B,B
PA-10,PA,Pennsylvania,Scott G Perry,Republican,Scott Perry,Republican,Scott Perry,Republican,46.82,52.03,B,B,B
PA-11,PA,Pennsylvania,Lloyd K Smucker,Republican,Lloyd Smucker,Republican,Lloyd Smucker,Republican,38.83,60.19,B,B,B
PA-12,PA,Pennsylvania,Frederick B Keller,Republican,Summer Lee,Democrat,Summer L. Lee,Democrat,59.13,39.95,B,B,B
PA-13,PA,Pennsylvania,John Joyce,Republican,John Joyce,Republican,John Joyce,Republican,26.83,72.37,B,B,B
PA-14,PA,Pennsylvania,Guy Reschenthaler,Republican,Guy Reschenthaler,Republican,Guy Reschenthaler,Republican,32.97,66.32,B,B,B
PA-15,PA,Pennsylvania,Glenn W Thompson Jr,Republican,Glenn Thompson,Republican,Glenn Thompson,Republican,30.58,68.58,B,B,B
PA-16,PA,Pennsylvania,George J Kelly Jr,Republican,Mike Kelly,Republican,Mike Kelly,Republican,38.2,60.96,B,B,B
PA-17,PA,Pennsylvania,Conor J Lamb,Democrat,Chris Deluzio,Democrat,Christopher R. Deluzio,Democrat,52.28,46.77,B,B,B
PA-18,PA,Pennsylvania,Michael F Doyle Jr,Democrat,NA,NA,NA,NA,NA,NA,B,B,B
RI-01,RI,Rhode Island,David N Cicilline,Democrat,David N Cicilline,Democrat,Gabe Amo,Democrat,59.66,37.62,NA,NA,NA
RI-02,RI,Rhode Island,James R Langevin,Democrat,Seth M Magaziner,Democrat,Seth Magaziner,Democrat,52.04,45.29,NA,NA,NA
SC-01,SC,South Carolina,Nancy Mace,Republican,Nancy Mace,Republican,Nancy Mace,Republican,42.69,55.79,F,F,F
SC-02,SC,South Carolina,Joe Wilson,Republican,Joe Wilson,Republican,Joe Wilson,Republican,42.27,56.23,F,F,F
SC-03,SC,South Carolina,Jeff Duncan,Republican,Jeff Duncan,Republican,Sheri Biggs,Republican,27.84,70.89,F,F,F
SC-04,SC,South Carolina,William R Timmons Iv,Republican,William R Timmons Iv,Republican,William R. Timmons Iv,Republican,37.38,61.01,F,F,F
SC-05,SC,South Carolina,Ralph Norman,Republican,Ralph Norman,Republican,Ralph Norman,Republican,37.93,60.71,F,F,F
SC-06,SC,South Carolina,James E Clyburn,Democrat,James E Clyburn,Democrat,James E. Clyburn,Democrat,60.62,37.78,F,F,F
SC-07,SC,South Carolina,Tom Rice,Republican,Russell Fry,Republican,Russell Fry,Republican,36.29,62.65,F,F,F
SD-00,SD,South Dakota,Dusty Johnson,Republican,Dusty Johnson,Republican,Dusty Johnson,Republican,34.24,63.43,NA,NA,NA
TN-01,TN,Tennessee,Diana Harshbarger,Republican,Diana Harshbarger,Republican,Diana Harshbarger,Republican,20.57,78.41,F,F,F
TN-02,TN,Tennessee,Tim Burchett,Republican,Tim Burchett,Republican,Tim Burchett,Republican,32.38,66.24,F,F,F
TN-03,TN,Tennessee,"Charles J \""Chuck\"" Fleischmann",Republican,Charles J ÂChuckâ Fleischmann,Republican,"Charles J. \""Chuck\"" Fleischmann",Republican,31.41,67.28,F,F,F
TN-04,TN,Tennessee,Scott Desjarlais,Republican,Scott Desjarlais,Republican,Scott Desjarlais,Republican,27.61,71.19,F,F,F
TN-05,TN,Tennessee,Jim Cooper,Democrat,Andy Ogles,Republican,Andrew Ogles,Republican,40.21,58.2,F,F,F
TN-06,TN,Tennessee,John W Rose,Republican,John W Rose,Republican,John W. Rose,Republican,31.94,66.81,F,F,F
TN-07,TN,Tennessee,Mark E Green,Republican,Mark E Green,Republican,Mark E. Green,Republican,38.13,60.41,F,F,F
TN-08,TN,Tennessee,David Kustoff,Republican,David Kustoff,Republican,David Kustoff,Republican,28.88,69.99,F,F,F
TN-09,TN,Tennessee,Steve Cohen,Democrat,Steve Cohen,Democrat,Steve Cohen,Democrat,70.84,27.38,F,F,F
TX-01,TX,Texas,Louie Gohmert,Republican,Nathaniel Moran,Republican,Nathaniel Moran,Republican,24,75.25,F,F,F
TX-02,TX,Texas,Dan Crenshaw,Republican,Dan Crenshaw,Republican,Dan Crenshaw,Republican,37.49,61.26,F,F,F
TX-03,TX,Texas,Van Taylor,Republican,Keith Self,Republican,Keith Self,Republican,38.63,58.66,F,F,F
TX-04,TX,Texas,Pat Fallon,Republican,Pat Fallon,Republican,Pat Fallon,Republican,32.87,65.43,F,F,F
TX-05,TX,Texas,Lance Gooden,Republican,Lance Gooden,Republican,Lance Gooden,Republican,35.84,62.87,F,F,F
TX-06,TX,Texas,Ron Wright,Republican,Jake Ellzey,Republican,Jake Ellzey,Republican,35.15,63.65,F,F,F
TX-07,TX,Texas,Lizzie Fletcher,Democrat,Lizzie Fletcher,Democrat,Lizzie Fletcher,Democrat,58.83,38.1,F,F,F
TX-08,TX,Texas,Kevin Brady,Republican,Morgan Luttrell,Republican,Morgan Luttrell,Republican,32.42,66.28,F,F,F
TX-09,TX,Texas,Al Green,Democrat,Al Green,Democrat,Al Green,Democrat,71.23,27.18,F,F,F
TX-10,TX,Texas,Michael T Mccaul,Republican,Michael T Mccaul,Republican,Michael T. Mccaul,Republican,36.85,61.63,F,F,F
TX-11,TX,Texas,August Pfluger,Republican,August Pfluger,Republican,August Pfluger,Republican,26.82,72.24,F,F,F
TX-12,TX,Texas,Kay Granger,Republican,Kay Granger,Republican,Craig Goldman,Republican,38.1,60.68,F,F,F
TX-13,TX,Texas,Ronny Jackson,Republican,Ronny Jackson,Republican,Ronny Jackson,Republican,25.59,73.34,F,F,F
TX-14,TX,Texas,Randy K Weber Sr,Republican,"Randy K Weber, Sr",Republican,"Randy K. Weber, Sr.",Republican,32.47,66.48,F,F,F
TX-15,TX,Texas,Vicente Gonzalez,Democrat,Monica De La Cruz,Republican,Monica De La Cruz,Republican,40.66,58.5,F,F,F
TX-16,TX,Texas,Veronica Escobar,Democrat,Veronica Escobar,Democrat,Veronica Escobar,Democrat,57.24,41.27,F,F,F
TX-17,TX,Texas,Pete Sessions,Republican,Pete Sessions,Republican,Pete Sessions,Republican,34.82,64.02,F,F,F
TX-18,TX,Texas,Sheila Jackson Lee,Democrat,Sheila Jackson Lee,Democrat,Sylvester Turner,Democrat,69.13,29.36,F,F,F
TX-19,TX,Texas,Jodey C Arrington,Republican,Jodey C Arrington,Republican,Jodey C. Arrington,Republican,23.69,75.36,F,F,F
TX-20,TX,Texas,Joaquin Castro,Democrat,Joaquin Castro,Democrat,Joaquin Castro,Democrat,59.91,38.68,F,F,F
TX-21,TX,Texas,Chip Roy,Republican,Chip Roy,Republican,Chip Roy,Republican,37.53,61.15,F,F,F
TX-22,TX,Texas,Troy Nehls,Republican,Troy E Nehls,Republican,Troy E. Nehls,Republican,39.18,58.66,F,F,F
TX-23,TX,Texas,Tony Gonzales,Republican,Tony Gonzales,Republican,Tony Gonzales,Republican,41.66,57.18,F,F,F
TX-24,TX,Texas,Beth Van Duyne,Republican,Beth Van Duyne,Republican,Beth Van Duyne,Republican,41.3,56.77,F,F,F
TX-25,TX,Texas,Roger Williams,Republican,Roger Williams,Republican,Roger Williams,Republican,31.24,67.54,F,F,F
TX-26,TX,Texas,Michael C Burgess,Republican,Michael C Burgess,Republican,Brandon Gill,Republican,37.58,60.99,F,F,F
TX-27,TX,Texas,Michael Cloud,Republican,Michael Cloud,Republican,Michael Cloud,Republican,34.71,64.35,F,F,F
TX-28,TX,Texas,Henry Cuellar,Democrat,Henry Cuellar,Democrat,Henry Cuellar,Democrat,45.82,53.13,F,F,F
TX-29,TX,Texas,Sylvia R Garcia,Democrat,Sylvia R Garcia,Democrat,Sylvia R. Garcia,Democrat,59.58,39.19,F,F,F
TX-30,TX,Texas,Eddie Bernice Johnson,Democrat,Jasmine Crockett,Democrat,Jasmine Crockett,Democrat,72.57,25.77,F,F,F
TX-31,TX,Texas,John R Carter,Republican,John R Carter,Republican,John R. Carter,Republican,37.65,60.89,F,F,F
TX-32,TX,Texas,Colin Z Allred,Democrat,Colin Z Allred,Democrat,Julie Johnson,Democrat,60.34,36.71,F,F,F
TX-33,TX,Texas,Marc A Veasey,Democrat,Marc A Veasey,Democrat,Marc A. Veasey,Democrat,65.56,31.88,F,F,F
TX-34,TX,Texas,Filemon Vela,Democrat,Vicente Gonzalez,Democrat,Vicente Gonzalez,Democrat,47.37,51.8,F,F,F
TX-35,TX,Texas,Lloyd Doggett,Democrat,Greg Casar,Democrat,Greg Casar,Democrat,65.84,32.25,F,F,F
TX-36,TX,Texas,Brian Babin,Republican,Brian Babin,Republican,Brian Babin,Republican,31.05,67.83,F,F,F
TX-37,TX,Texas,NA,NA,Lloyd Doggett,Democrat,Lloyd Doggett,Democrat,73.23,24.22,F,F,F
TX-38,TX,Texas,NA,NA,Wesley Hunt,Republican,Wesley Hunt,Republican,38.75,59.43,F,F,F
UT-01,UT,Utah,Blake David Moore,Republican,Blake D Moore,Republican,Blake D. Moore,Republican,38.5,58.54,F,F,B
UT-02,UT,Utah,Chris Stewart,Republican,Chris Stewart,Republican,Celeste Maloy,Republican,38.56,58.88,F,F,B
UT-03,UT,Utah,John R Curtis,Republican,John R Curtis,Republican,Mike Kennedy,Republican,38.95,58.26,F,F,B
UT-04,UT,Utah,Burgess Owens,Republican,Burgess Owens,Republican,Burgess Owens,Republican,35.23,61.91,F,F,B
VA-01,VA,Virginia,Robert J Wittman,Republican,Robert J Wittman,Republican,Robert J. Wittman,Republican,46.66,51.58,A,A,A
VA-02,VA,Virginia,Elaine G Luria,Democrat,Jen A Kiggans,Republican,Jennifer A. Kiggans,Republican,49.06,49.33,A,A,A
